,Formation Energy,Magnetic order,Has_FM,Has_AFM
Mo2Ir2Cl12,afm_so,spin_so,True,True
Co2Pt2Cl12,spin_so,spin_so,True,True
Ir2Pd2I12,afm_so,spin_so,True,True
Cd2Ir2I12,spin_so,spin_so,True,False
Mn2Co2Br12,afm_so,afm_so,False,True
Ti2Fe2Cl12,afm_so,afm_so,False,True
Ti2Au2Br12,spin_so,afm_so,True,True
Ti2Cd2Br12,spin_so,afm_so,True,True
Fe2Ir2Cl12,afm_so,spin_so,True,True
Ti2Pd2Cl12,spin_so,spin_so,True,False
Ti2Cd2I12,afm_so,afm_so,True,True
Mo2Ir2Br12,spin_so,afm_so,True,True
Ir2Au2Cl12,spin_so,spin_so,True,True
Ti2Au2I12,spin_so,afm_so,True,True
Ti4Br12,spin_so,spin_so,True,False
Ti2Ru2Br12,afm_so,afm_so,True,True
Ru2Pd2F12,spin_so,spin_so,True,False
Ir2Au2I12,spin_so,afm_so,True,True
Zr2Ir2I12,afm_so,afm_so,False,True
Ni4Br6Cl6,afm_so,spin_so,True,True
Ir2Pd2Cl12,spin_so,afm_so,True,True
Fe4Br6Cl6,afm_so,spin_so,True,True
Cr2Fe2Br6Cl6,spin_so,spin_so,True,False
Ti2Ir2Cl12,spin_so,spin_so,True,True
Ni2Ir2I12,afm_so,afm_so,False,True
Ti2Pd2Br12,spin_so,spin_so,True,True
Ti2Cr2I6Cl6,spin_so,spin_so,True,False
V2Co2Br12,afm_so,afm_so,False,True
Mn2Ru2F12,spin_so,spin_so,True,False
Ti2Mo2I12,afm_so,afm_so,False,True
Ti2Fe2I12,afm_so,afm_so,True,True
Y2Cr2F12,,,False,False
Y2Cr2Cl12,,,False,False
Cr2Tc2F12,,,False,False
Mn2Cr2I12,,,False,False
Cr2Rh2F12,,,False,False
Y2Cr2Br12,,,False,False
Y2Cr2I12,,,False,False
Cr2Cd2F12,,,False,False
Cr2Cd2Br12,,,False,False
Cr2Pd2F12,,,False,False
Mn2Cr2F12,,,False,False
Zn2Ni2I6Br6,,,False,False
Cr2Mo2F12,,,False,False
Cr2Ag2F12,,,False,False
Y2Ru2F12,,,False,False
Ru2Ir2F12,,,False,False
Zn2Ru2F12,,,False,False
Sc2Ru2F12,,,False,False
Ru2W2Cl12,,,False,False
Cr2Ni2I6Br6,,,False,False
Zn2Ni2I6Cl6,,,False,False
Y2Ru2I12,,,False,False
Ru2Rh2F12,,,False,False
Y2Ru2Cl12,,,False,False
Zr2Ru2F12,,,False,False
Ru2Pt2F12,,,False,False
Y2Ru2Br12,,,False,False
Ni2Ru2F12,,,False,False
Ti2Ru2F12,,,False,False
V2Ru2F12,,,False,False
Co2Tc2Cl12,,,False,False
Ti2Fe2I6Br6,,,False,False
V2Co2Cl12,,,False,False
Y2Co2I12,,,False,False
Mn2Co2Cl12,,,False,False
Y2Co2Br12,,,False,False
Y2Co2Cl12,,,False,False
Co2Ru2F12,,,False,False
Ti2Mo2Br12,,,False,False
Zn2Cr2I6Cl6,,,False,False
Ti2Fe2I6Cl6,,,False,False
Zn2Fe2I6Cl6,,,False,False
Zn4I6Br6,,,False,False
Fe2Ni2I6Cl6,,,False,False
Cu2Ru2F12,,,False,False
Ti4I12,,,False,False
Fe2Ni2Br6Cl6,,,False,False
Ti4Br6Cl6,,,False,False
Ni2Ir2Cl12,,,False,False
Ti2Fe2Br6Cl6,,,False,False
Ti2Cr2I6Br6,,,False,False
Ti2Ni2I6Br6,,,False,False
Ti2Zn2I6Br6,,,False,False
Zn2Cr2I6Br6,,,False,False
Ti4I6Br6,,,False,False
Zn2Cr2Br6Cl6,,,False,False
Ni4I6Cl6,,,False,False
Ti2Mo2Cl12,,,False,False
Ti2Ni2Br6Cl6,,,False,False
CrI,,,False,False
